月,日,名称,主要内容,阅读量
6,5,114周年！一起换上专属头像框为母校庆生,展现并呼吁大家一起使用海大特色头像框,753
6,7,校庆献礼！海大今晚登陆CETV1《发现中国》,介绍纪录片内容：致敬中国高等航海教育历程的纪录片，通过回顾百年来中国航运的发展历程，讴歌大连海事大学在培养海洋人才、服务国家交通强国和海洋强国建设方面的不懈努力。,557
6,8,热烈庆祝大连海事大学建校114周年,展示校庆期间，校友会组织的各项庆祝活动。,1958
6,9,大连海事大学关于招募校友助力导师的通知,介绍了招募校友助力导师的基本条件、主要职责、工作方式、招募流程和有关说明。,8873
6,12,如你所“院”|大连海事大学船舶电气工程学院,介绍了我校船舶电气工程学院的学科建设、师资力量、科研情况和招收专业。,157
6,12,如你所“院”|大连海事大学轮机工程学院,介绍了我校轮机工程学院的学科建设、师资力量、交流合作和招收专业。,330
6,12,如你所“院”|大连海事大学航海学院,介绍了我校航海学院的学科建设、师资力量、科研情况、交流合作和招收专业。,351
6,12,免费邮寄 | 大连海事大学2023年本科招生报考指南新鲜出炉！,给出2023本科招生报考指南,457
6,14,公开招募啦@不平凡的你！,介绍大连海事大学校友总会的基本条件和招募信息,1398
6,16,母校喜报！国家级一流本科课程再添11门！,国家新添的11门一流本科通知以及具体包括那些院校,704
6,17,念念不忘 必有回响丨母校喊你回家参加毕业典礼啦！,介绍了2023毕业典礼的时间、地点以及报名安排,953
6,21,如你所“院”|大连海事大学船舶与海洋工程学院,介绍了我校船舶与海洋工程学院的学科建设、师资力量、科研情况和招收专业。,154
6,21,如你所“院”|大连海事大学航运经济与管理学院,介绍了我校航运经济与管理学院的学科建设、师资力量、科研情况、交流合作和招收专业。,265
6,21,如你所“院”|大连海事大学交通运输工程学院,介绍了我校交通运输工程学院的学科建设、师资力量、科研情况、交流合作和招收专业。,127
6,21,如你所“院”|大连海事大学信息科学技术学院,介绍了我校信息科学技术学院的学科建设、师资力量、科研情况、学子风采、交流合作和招收专业。,267
6,21,祝2023届新校友，前程似锦，未来可期！,对2023届毕业学子的祝福,500
6,22,大连海事大学校友总会恭祝全球校友端午安康！,大连海事大学校友会对所有学子的端午祝福,199
6,25,如你所“院”|大连海事大学外国语学院,介绍了我校外国语学院的学科建设、师资力量、科研情况、交流合作和招收专业。,141
6,25,如你所“院”|大连海事大学法学院,介绍了我校法学院的学科建设、师资力量、科研情况、交流合作和法学相关发展方向。,208
6,25,如你所“院”|大连海事大学人工智能学院,介绍了我校人工智能学院的学科建设、交流合作和招收专业。,145
6,25,如你所“院”|大连海事大学环境科学与工程学院,介绍了我校环境科学与工程学院的学科建设、师资力量、科研情况和招收专业。,138
6,25,欢迎报考我的母校 | 大连海事大学14位院长开讲啦!,关于我校14位院长讲座的相关信息,1214
6,27,如你所“院”|大连海事大学休斯顿国际学院,介绍了我校休斯顿国际学院的培养目标和招收专业。,184
6,27,如你所“院”|大连海事大学理学院,介绍了我校理学院的学科建设、师资力量、科研情况和招收专业。,151
6,27,如你所“院”|大连海事大学公共管理与人文艺术学院,介绍了我校公共管理与人文艺术学院的学科建设、师资力量、科研情况、交流合作和招收专业。,153
6,27,下一站，海大 | 多少分能上大连海事大学？,介绍我校2023招生计划以及往年录取情况,1039
6,30,四连冠！母校在第六届中国海员技能大比武中勇夺桂冠,喜报我校在第六届中国海员大比武中比赛中夺魁以及比赛图片展示,667
7,1,今天，母校这样为党庆生！,介绍我校在建党节相关活动安排,308
7,4,AI海大，遇见不一样的母校！,我校ai生成图展示,763
7,11,帆起海天阔丨《凌风远航》传承航海精神 印刻时代记忆,介绍我校航海队辉煌历史,187
7,11,预告丨中国航海日，央视记者带你走进航海的世界！,母校将开展“航海向未来”2023年中国航海日科普活动预告,330
7,12,中国航海日，上央视，看母校，解锁航海新科技！,央视节目中对我校航海科技相关报道,909
7,14,【校友动态】大连海事大学天津校友会热烈庆祝2023年中国航海日,天津校友会庆祝中国航海日系列活动介绍,626
7,15,大连海事大学领导班子调整,我校关于交通运输部党组的任免决定,1973
7,18,成果对接+战略合作，这场大会干货满满！,首届辽宁“校企协同科技创新伙伴行动”暨大连海事大学科技成果对接大会会议内容摘要,403
7,26,我校召开校友助力导师工作推进会,校友助力导师工作推进会会议内容重要摘要,356
7,26,喜报！母校连续三年获得中国专利奖！,我校轮机工程学院张洪朋教授团队的“一种串联谐振式油液金属颗粒测量装置及其测量方法”发明专利连续三年获得优秀奖,438
7,27,一起来看！大连海事大学2023级本科新生录取通知书！,2023我校新生录取通知书样式展示,931
7,28,我校与世界海事大学签署“中方专职教席”协议备忘录,交通运输部副部长王刚和世界海事大学校长小马克西莫·梅希亚教授并见证两校签署“中方专职教席”协议备忘录以及相关谈话内容,744